Altium Designer Pick and Place Locations
C:\Users\itsth\OneDrive\Documents\Altium\NavIC_F9P_RTK\Project Outputs for NavIC_F9P_RTK\Pick Place for NavIC_PCB.csv

========================================================================================================================
File Design Information:

Date:       04/06/24
Time:       20:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U10","LFSPXO072801REEL","TopLayer","LFSPXO072801REEL","5.2560","29.9189","180","Crystal or Oscillator"
"U9","NCV8705MT33TCG","BottomLayer","SON65P200X200X80-7N","5.8420","11.4554","270","Integrated Circuit"
"U8","NCV8705MT33TCG","TopLayer","SON65P200X200X80-7N","24.3528","42.1940","90","Integrated Circuit"
"U7","TJA1051TK_3,118","TopLayer","SON65P300X300X100-9N-D","21.9964","26.3398","0","Integrated Circuit"
"U6","PMBT3906VS,115","BottomLayer","PMBT3906VS115","11.3661","42.3966","90","Transistor BJT PNP"
"U5","BMP390","BottomLayer","BMP390","26.4454","39.4960","0","Bosch Sensortec BMP390 Barometer"
"U4","BMM150","TopLayer","BMM150","24.7432","33.7094","180","Integrated Circuit"
"U3","ICM-42688-P","TopLayer","IIM42352","11.6253","17.8699","0","Integrated Circuit"
"U2","ZED-F9P-15B","BottomLayer","ZEDF9P15B","19.5082","25.9412","0","Ublox F9P-15B Dual Band GNSS Receiver"
"U1","STM32F412CEU6","TopLayer","QFN50P700X700X65-49N-D","13.9476","26.3542","0","ARM Microcontrollers - MCU 16/32-BITS MICROS"
"TP10","TestPad","TopLayer","TESTPAD","3.0000","23.0000","90","Test Pads"
"TP9","TestPad","TopLayer","TESTPAD","3.0000","20.0000","90","Test Pads"
"TP8","TestPad","TopLayer","TESTPAD","8.4888","32.4358","90","Test Pads"
"TP7","TestPad","TopLayer","TESTPAD","3.0000","21.5000","90","Test Pads"
"TP6","TestPad","TopLayer","TESTPAD","3.0000","24.5000","90","Test Pads"
"TP5","TestPad","TopLayer","TESTPAD","3.0000","26.0000","90","Test Pads"
"TP4","TestPad","TopLayer","TESTPAD","32.5000","38.0000","90","Test Pads"
"TP3","TestPad","TopLayer","TESTPAD","32.5000","41.0000","90","Test Pads"
"TP2","TestPad","TopLayer","TESTPAD","29.6926","10.2362","90","Test Pads"
"TP1","TestPad","TopLayer","TESTPAD","32.5000","39.5000","90","Test Pads"
"SP1","ST-03CH","TopLayer","ST03CH","22.1186","12.1785","180","Loudspeaker or Buzzer"
"R33","5.1K","TopLayer","R0402","12.9286","5.3086","270","Resistor 0402 Generic"
"R32","5.1K","TopLayer","R0402","11.4540","4.1027","180","Resistor 0402 Generic"
"R31","27","BottomLayer","R0402","13.4662","16.1765","270","Resistor 0402 Generic"
"R30","27","BottomLayer","R0402","14.5662","16.1765","90","Resistor 0402 Generic"
"R29","100K","TopLayer","R0402","7.6446","25.1584","270","Resistor 0402 Generic"
"R28","100K","TopLayer","R0402","8.0518","31.0896","0","Resistor 0402 Generic"
"R27","100K","BottomLayer","R0402","7.3092","26.7796","90","Resistor 0402 Generic"
"R26","150","TopLayer","R0402","3.8693","27.9792","0","Resistor 0402 Generic"
"R25","5.1K","BottomLayer","R0402","26.4089","37.8702","0","Resistor 0402 Generic"
"R24","5.1K","BottomLayer","R0402","24.2316","39.4970","180","Resistor 0402 Generic"
"R23","5.1K","TopLayer","R0402","23.0632","37.5666","90","Resistor 0402 Generic"
